//X Y Z Scalar_field Scalar_field_#2 Scalar_field_#3 Scalar_field_#4 Scalar_field_#5 Scalar_field_#6 Scalar_field_#7 Scalar_field_#8 Scalar_field_#9 Nx Ny Nz
476
-105.04099274 -111.41907501 -65.95724487 -89.242493 -42.472752 179.689743 -0.003994 -0.016877 0.999850 -0.675240 0.737534 0.009751 -0.737010 -0.675708 -0.015325
-104.81689453 -112.29927063 -65.96504974 -87.640839 -59.245037 -176.772568 0.028790 0.007242 0.999559 -0.859362 0.510934 0.021050 -0.509585 -0.860179 0.020383
-104.15284729 -112.74188995 -66.00831604 -85.455238 -67.789200 -174.281738 0.037664 0.013110 0.999204 -0.925799 0.376827 0.029953 -0.375505 -0.926419 0.027286
-103.11513519 -112.97041321 -65.96679688 -82.687378 -76.878456 -172.480911 0.029707 0.000215 0.999559 -0.973891 0.225171 0.028895 -0.225028 -0.974335 0.005891
-101.67791748 -113.22255707 -65.98538208 -56.091293 -85.650871 -147.503632 0.040741 -0.025931 0.998833 -0.997120 0.062937 0.042305 -0.064673 -0.997658 -0.022264
-100.28654480 -112.97227478 -66.07533264 -76.586746 -85.970207 -165.195099 0.017957 0.023672 0.999559 -0.997528 0.068358 0.016302 -0.067064 -0.997448 0.024484
-98.82783508 -112.83994293 -66.02142334 -45.794163 -85.954880 -135.688599 0.049278 0.000595 0.998785 -0.997509 0.050567 0.049185 -0.050399 -0.998724 0.003086
-97.03440857 -112.89086151 -66.05239868 72.081215 -85.808479 -17.156151 0.021560 0.014061 0.999669 -0.997325 -0.069545 0.022488 0.070717 -0.997429 0.011610
-95.35614014 -112.72302246 -66.03747559 24.644707 -87.454857 -65.809166 0.040507 -0.007546 0.999151 -0.999014 -0.018517 0.040362 0.019053 -0.999778 -0.009025
-93.99661255 -112.47300720 -66.00511169 90.506386 -72.200897 -0.345839 0.001845 -0.014585 0.999892 -0.952134 -0.305668 -0.002702 0.306503 -0.951772 -0.013650
-93.32453156 -112.00643921 -65.93771362 95.725769 -58.923573 6.005242 -0.054003 -0.010062 0.998490 -0.856480 -0.513606 -0.051498 0.514788 -0.857075 0.020374
-93.33152008 -111.77001190 -65.95193481 94.179359 -6.064308 0.805351 -0.013977 -0.071391 0.997351 -0.105645 -0.991760 -0.072471 0.994233 -0.107105 0.005409
-94.00577545 -111.82595825 -66.01943970 92.301331 36.002079 -0.817517 0.011543 -0.031771 0.999429 0.587815 -0.808343 -0.032485 0.808283 0.588716 0.009606
-95.48120117 -112.16979980 -66.04836273 91.754379 65.040131 0.416922 -0.003071 -0.037208 0.999303 0.906604 -0.421786 -0.012919 0.421738 0.906006 0.035921
-97.20474243 -112.21880341 -66.15458679 38.582253 87.329460 50.085342 -0.035737 0.023772 0.999078 0.998914 -0.029057 0.036422 0.029783 0.999277 -0.023621
-98.88675690 -112.40386200 -66.11614990 -56.194935 84.569962 146.038300 -0.052864 0.000651 0.998601 0.995512 0.078632 0.052649 -0.079115 0.996852 -0.005274
-100.45363617 -112.47990417 -66.10424042 -12.648904 87.326538 102.950676 -0.045457 -0.005499 0.998951 0.998912 0.010214 0.045512 -0.010901 0.999928 0.004955
-102.25722504 -112.50136566 -66.08117676 -53.586826 83.476151 143.104050 -0.068211 0.005298 0.997657 0.993525 0.091434 0.067443 -0.091109 0.995771 -0.011791
-103.74389648 -112.58171844 -66.09968567 61.368855 79.985733 29.871992 -0.086610 -0.014995 0.996129 0.984764 -0.152630 0.083324 0.151567 0.988036 0.028490
-104.95897675 -111.98590088 -66.13938904 79.474670 62.604382 9.686211 -0.077418 0.033197 0.996446 0.887851 -0.452390 0.084052 0.453006 0.891483 0.006604
-105.51654053 -111.38751984 -66.10269928 84.742851 26.014788 1.217637 -0.019097 0.082324 0.996423 0.438603 -0.894901 0.082342 0.898706 0.438103 -0.019854
-105.46837616 -110.75524902 -66.11256409 86.783455 1.369752 -1.569738 0.027386 0.056743 0.998013 0.023904 -0.998139 0.056094 0.999385 0.021525 -0.027675
-105.13993835 -110.00997925 -66.08905029 85.846092 -15.915447 -3.380676 0.056709 0.056182 0.996809 -0.274218 -0.959141 0.069659 0.959910 -0.277639 -0.038596
-104.69164276 -109.50720215 -66.15252686 80.173622 -50.176201 -7.447124 0.083007 0.071140 0.994007 -0.768018 -0.631033 0.109298 0.634886 -0.772605 0.001377
-104.05171204 -109.49523926 -66.13616943 65.984520 -76.164421 -24.550369 0.099360 0.001676 0.995050 -0.970986 -0.218436 0.097325 0.217012 -0.975961 -0.020160
-103.08654785 -109.52280426 -66.09117126 45.094021 -81.264214 -47.284813 0.111590 -0.035470 0.993121 -0.988399 -0.107570 0.107218 0.103924 -0.993424 -0.048051
-101.80929565 -109.21495819 -66.03350830 -31.238153 -86.333878 -116.947845 0.056999 0.073864 0.995638 -0.997954 0.033160 0.054672 -0.029029 -0.996660 0.076335
-100.39637756 -109.01164246 -66.20223236 79.470406 -77.622780 -8.170018 0.030461 0.044418 0.998549 -0.976758 -0.210738 0.039170 0.212084 -0.976545 0.037145
-99.01049805 -108.39836121 -66.19210052 86.884735 -55.741608 1.990722 -0.019555 0.082981 0.996359 -0.826507 -0.562094 0.030592 0.562521 -0.823027 0.078724
-97.76007080 -107.52750397 -66.19483185 84.451820 -41.900799 -1.358261 0.017643 0.080899 0.996566 -0.667843 -0.740815 0.071961 0.743722 -0.667225 0.041082
-96.85218048 -106.46633148 -66.23751831 84.567917 -17.670383 -1.108470 0.018433 0.088802 0.995879 -0.303541 -0.948539 0.090199 0.953004 -0.302835 0.008652
-96.91584015 -105.24784088 -66.26429749 87.063187 -7.704729 2.435693 -0.042114 0.056879 0.997492 -0.134068 -0.989671 0.050772 0.990076 -0.131629 0.049218
-96.88946533 -104.30995941 -66.45377350 86.529724 -3.640465 1.620071 -0.028215 0.062298 0.997659 -0.063495 -0.996152 0.060409 0.997611 -0.060687 0.033005
-96.74612427 -103.37551880 -66.97821045 84.682098 -0.496190 0.435494 -0.007600 0.092745 0.995661 -0.008660 -0.995658 0.092678 0.999936 -0.006951 0.008937
-96.75672913 -102.63185120 -67.45738220 86.143990 -2.826000 -0.186643 0.003254 0.067089 0.997742 -0.049303 -0.996523 0.067168 0.998739 -0.050193 0.001024
-96.76126099 -101.84451294 -68.01766968 85.377174 -0.254827 2.238595 -0.039061 0.080708 0.995972 -0.004448 -0.996737 0.080595 0.999217 -0.001014 0.039563
-96.81362915 -101.11093903 -68.45517731 86.271744 -3.279313 0.862212 -0.015023 0.065876 0.997715 -0.057204 -0.996250 0.064918 0.998299 -0.055519 0.017808
-96.73687744 -100.32624054 -69.00561523 85.561966 1.134023 -0.864302 0.015081 0.077670 0.996865 0.019791 -0.996806 0.077366 0.999668 0.019205 -0.017183
-96.86655426 -99.58377075 -69.41519165 87.229797 -0.372918 -2.847908 0.049684 0.047948 0.997613 -0.006509 -0.998810 0.048329 0.998778 -0.009296 -0.048545
-97.02995300 -98.82308960 -70.03559113 87.206352 5.044332 0.536523 -0.009328 0.047915 0.998808 0.087926 -0.994943 0.048550 0.996086 0.088234 0.005315
-97.36328125 -98.02416992 -70.46855164 90.503273 9.699582 -1.818206 0.031275 -0.003434 0.999505 0.168482 -0.985667 -0.008658 0.985311 0.167885 -0.031261
-97.74797058 -97.25289154 -70.91786194 97.232063 20.802919 -2.164370 0.035304 -0.112492 0.993025 0.355155 -0.927371 -0.117681 0.934369 0.356252 0.006339
-98.40824890 -96.75692749 -70.91800690 93.956039 32.092434 -3.310000 0.048915 -0.038273 0.998069 0.531287 -0.845173 -0.058449 0.846511 0.531976 -0.020513
-99.18845367 -96.73091125 -70.88865662 94.987808 38.000523 -4.185166 0.057509 -0.041951 0.997463 0.615669 -0.785021 -0.068512 0.785466 0.618641 -0.018073
-100.15831757 -96.65095520 -71.00930786 92.395508 61.634640 -1.450414 0.012025 -0.019531 0.999737 0.879936 -0.474677 -0.019858 0.474225 0.880322 0.012023
-101.07611847 -97.07666779 -71.01773071 -118.664398 81.642303 -149.702972 0.073328 -0.023790 0.997024 0.989380 0.127539 -0.069723 -0.124660 0.991665 0.032569
-101.54225922 -98.09989166 -70.97261047 -101.722221 61.243134 -169.326248 0.089106 0.040665 0.995192 0.876669 0.471060 -0.097742 -0.472026 0.881559 0.006648
-101.87400818 -99.15922546 -71.02844238 -94.212387 36.737576 -175.844986 0.058064 0.030039 0.997861 0.598151 0.799219 -0.058865 -0.798820 0.600857 0.029276
-102.10224915 -99.94524384 -71.13163757 -91.064339 17.071327 -178.343475 0.027634 0.010083 0.999567 0.293562 0.955775 -0.017757 -0.955378 0.294440 0.023605
-101.85054016 -100.65734863 -71.60267639 -92.799782 6.731877 179.800217 -0.003463 0.049254 0.998780 0.117223 0.991920 -0.048509 -0.993095 0.116899 -0.009833
-101.69689941 -101.43796539 -71.86883545 -90.517265 -0.459291 -178.727005 0.022215 0.009204 0.999711 -0.008016 0.999927 -0.009028 -0.999708 -0.007033 0.023109
-101.72932434 -102.21823883 -72.42263031 -90.121002 -4.429992 -179.558533 0.007682 0.002707 0.999967 -0.077241 0.997010 -0.002106 -0.996990 -0.077179 0.007401
-101.68879700 -102.95983887 -72.95236206 -91.896690 -1.995152 -179.680511 0.005573 0.033291 0.999430 -0.034815 0.998846 -0.033077 -0.999341 -0.035582 0.007116
