# boujou export: text
# Creation date : Fri Jan 10 14:16:21 2025
# The image sequence file name was 
# boujou frame 0 is image sequence file 1
# boujou frame 475 is image sequence file 476
# One boujou frame for every image sequence frame
# Exporting camera data for boujou frames 0 to 475
# First boujou frame indexed to animation frame 1
#The Camera (One line per time frame)
#Image Size 3840 1920
#Line Format: Camera Rotation Matrix (9 numbers - 1st row, 2nd row, 3rd row) Camera Translation (3 numbers) Focal Length (mm)
#rotation applied before translation
#R(0,0)	R(0,1)	R(0,2)	R(1,0)	R(1,1)	R(1,2)	R(2,0)	R(2,1)	R(2,2)	Tx	Ty	Tz	F(pix)
2.4873226540059690e-01	9.6453142184417096e-01	8.8382104658970936e-02	9.0691528920549047e-02	6.7656297127253281e-02	-9.9357821636803334e-01	-9.6431701568039330e-01	2.5515046881064374e-01	-7.0646525285881626e-02	-9.4243578269683326e+00	-9.0848946898007146e+00	3.4020488578155309e+01	6.1115498147287815e+02
-3.0256530923130265e-01	9.4933914440479095e-01	8.4908318500285088e-02	8.1231656034482125e-02	1.1444368159431587e-01	-9.9010305615174976e-01	-9.4966080876682601e-01	-2.9267359403253052e-01	-1.1174307874951238e-01	-1.0208728454749835e+01	-9.6859621140792704e+00	3.4389398936033757e+01	6.1115498147287815e+02
-7.7146492393667543e-01	6.3102783212502800e-01	8.1521446374360290e-02	-5.0528761240491278e-02	6.6958938698480006e-02	-9.9647546122113562e-01	-6.3426233959055267e-01	-7.7286504359555619e-01	-1.9771417884353128e-02	-1.0133273057631463e+01	-1.0402093643702852e+01	3.4462442755455449e+01	6.1115498147287815e+02
-9.0896606193447960e-01	4.1495858372518568e-01	3.9875707443408404e-02	-2.8539915714479707e-02	3.3485938366087167e-02	-9.9903161368534943e-01	-4.1589201899331341e-01	-9.0922388096911033e-01	-1.8594698522286172e-02	-1.0069517897515102e+01	-1.1053382135041456e+01	3.4607984379957621e+01	6.1115498147287815e+02
-9.9691315105061817e-01	7.8410227677744415e-02	4.0006821733403926e-03	-2.4496814197173819e-03	1.9866808161224145e-02	-9.9979963442403175e-01	-7.8473997752565805e-02	-9.9672320436970352e-01	-1.9613402247466116e-02	-1.0129805564385528e+01	-1.1664571837995688e+01	3.4717010629503683e+01	6.1115498147287815e+02
-9.7673934848871347e-01	-2.1411393902864106e-01	1.1638995982610261e-02	-8.6183628008767426e-03	-1.5035704451533103e-02	-9.9984981442928678e-01	2.1425678270821719e-01	-9.7669296542223849e-01	1.2840652562785951e-02	-9.9711659313188292e+00	-1.1776905807763898e+01	3.4707442859237332e+01	6.1115498147287815e+02
-8.7213256588723498e-01	-4.8830024207287309e-01	3.0784104835474918e-02	-3.2566498867001775e-02	-4.8435579908292954e-03	-9.9945783457709481e-01	4.8818460716259154e-01	-8.7266225628106731e-01	-1.1678004621657105e-02	-9.5815282770866617e+00	-1.1642803468938839e+01	3.4681751353883882e+01	6.1115498147287815e+02
-6.7837565407170408e-01	-7.3389922605431357e-01	3.4617884968143935e-02	-3.4948265401880889e-02	-1.4831566550064824e-02	-9.9927906181360138e-01	7.3388356754201034e-01	-6.7909642218947830e-01	-1.5587131271072857e-02	-8.8443752848437960e+00	-1.1102349696844733e+01	3.4641703149201241e+01	6.1115498147287815e+02
-2.7482391851195742e-01	-9.6144745486254246e-01	-9.5186843666876329e-03	-1.3907592466521009e-02	1.3873859175880058e-02	-9.9980702883274108e-01	9.6139398411136234e-01	-2.7463850343662205e-01	-1.7184287723800526e-02	-8.0832313588319877e+00	-1.0780604343501654e+01	3.4583598251849459e+01	6.1115498147287815e+02
-1.1485969098699006e-01	-9.9335641803954655e-01	-7.0907070179799577e-03	-1.6026905985173107e-02	8.9900815226490044e-03	-9.9983114410322260e-01	9.9325242998490360e-01	-1.1472665415611905e-01	-1.6953027907328035e-02	-7.6264433518528332e+00	-1.0201865352725413e+01	3.4565706021766850e+01	6.1115498147287815e+02
3.0914189276174175e-02	-9.9921858296231081e-01	-2.4627958993565454e-02	-3.2604889177132848e-02	2.3618493198970990e-02	-9.9918921530446747e-01	9.9899010710974712e-01	3.1692116398278347e-02	-3.1849264592046414e-02	-7.5543877124834848e+00	-1.0121034613616160e+01	3.4571649838153959e+01	6.1115498147287815e+02
1.2351118695005281e-01	-9.9233929523457376e-01	2.7766583402524265e-03	3.4160628871862057e-04	-2.7555650082461674e-03	-9.9999614507588452e-01	9.9234312110445588e-01	1.2351165934775021e-01	-1.3537610926220300e-06	-7.6337500892153640e+00	-1.0221383870797887e+01	3.4642423724345960e+01	6.1115498147287815e+02
-6.8284379829700592e-03	-9.9957362259564508e-01	2.8389178320830481e-02	2.7194313234871797e-02	-2.8564964353685111e-02	-9.9922195339131570e-01	9.9960684359521901e-01	-6.0511009322176124e-03	2.7377772281756127e-02	-7.7487692466511549e+00	-1.0363914948492585e+01	3.4676577400878095e+01	6.1115498147287815e+02
-1.0956287002438325e-01	-9.9360700080003261e-01	2.7223252435818215e-02	-2.2908941507084956e-02	-2.4856633425182625e-02	-9.9942850078121737e-01	9.9371583358173632e-01	-1.1012391082744166e-01	-2.0039120565151412e-02	-7.7021730339390784e+00	-1.0547186959008542e+01	3.4590053018850433e+01	6.1115498147287815e+02
-3.4375640159389886e-01	-9.3782338760257011e-01	4.8154231681690210e-02	-1.1347677133448312e-02	-4.7126983394108903e-02	-9.9882444786851654e-01	9.3899029099713771e-01	-3.4389873669702714e-01	5.5580852188235599e-03	-7.5198802093790347e+00	-1.0361437783517072e+01	3.4796748786206301e+01	6.1115498147287815e+02
-3.6490464526728023e-01	-9.2984412650962545e-01	4.7270500927242186e-02	-4.0101591738157756e-02	-3.5027579102456644e-02	-9.9858145939241605e-01	9.3018087606788968e-01	-3.6628263553951518e-01	-2.4506503214459824e-02	-7.1271427609329097e+00	-1.0169723062856203e+01	3.4668210552643515e+01	6.1115498147287815e+02
-4.4577384627898159e-01	-8.9245666348862873e-01	6.9330958224936817e-02	-2.2776761117870102e-02	-6.6118545478340784e-02	-9.9755178166188874e-01	8.9485579683355843e-01	-4.4626162924743329e-01	9.1466460959197821e-03	-5.9994591748451160e+00	-1.0698976067208749e+01	3.4006489633968428e+01	6.1115498147287815e+02
-5.7406267245403364e-01	-8.1845977456567720e-01	2.3992613714105659e-02	-6.0786899768540646e-03	-2.5041056881940676e-02	-9.9966794236806511e-01	8.1878879915586222e-01	-5.7401789422293847e-01	9.3999728066096674e-03	-5.1938134957048874e+00	-1.1178524923345748e+01	3.4108504918937868e+01	6.1115498147287815e+02
-7.3758774659677950e-01	-6.7509898250684774e-01	-1.4341544146436290e-02	3.9941733277934679e-03	1.6876538426257592e-02	-9.9984960320548966e-01	6.7523948540478063e-01	-7.3753409837712991e-01	-9.7514655986284688e-03	-5.0409939930287280e+00	-1.1419075849693220e+01	3.4042759565678629e+01	6.1115498147287815e+02
-5.1055643585783739e-01	-8.5958938480112623e-01	2.0933593608451907e-02	-2.8789793885928446e-02	-7.2424726069112259e-03	-9.9955925004901247e-01	8.5936213180017917e-01	-5.1093408197903534e-01	-2.1049710213974268e-02	-4.8168950251742784e+00	-1.2299271614740444e+01	3.4034950656094246e+01	6.1115498147287815e+02
-3.7613426058420757e-01	-9.2619098231543229e-01	2.6330254316019850e-02	-3.7664253756676147e-02	-1.3110137343222514e-02	-9.9920444769216021e-01	9.2579934219231586e-01	-3.7682673548517825e-01	-2.9953120369323485e-02	-4.1528508729485702e+00	-1.2741890523436256e+01	3.3991686932438739e+01	6.1115498147287815e+02
-2.2506541328477803e-01	-9.7431923591378322e-01	6.8982803171461667e-03	-2.9706728354702856e-02	-2.1479465170079134e-04	-9.9955863467518402e-01	9.7389068690146741e-01	-2.2517100255503492e-01	-2.8895494024996225e-02	-3.1151337189830937e+00	-1.2970416383130445e+01	3.4033208200728609e+01	6.1115498147287815e+02
-6.3960144814590669e-02	-9.9768058991927888e-01	-2.3292496079562897e-02	-4.0741413745958903e-02	2.5931289760146893e-02	-9.9883317196484644e-01	9.9712047270190851e-01	-6.2936545104534614e-02	-4.2305486748501826e-02	-1.6779171263316432e+00	-1.3222557469946931e+01	3.4014614268897645e+01	6.1115498147287815e+02
-6.7942183593470873e-02	-9.9737996076224988e-01	2.4840965328348459e-02	-1.7957323685854846e-02	-2.3671959447911443e-02	-9.9955848896497212e-01	9.9752764082735701e-01	-6.8358263624741067e-02	-1.6301950178366213e-02	-2.8654327834429916e-01	-1.2972276317776553e+01	3.3924671706474740e+01	6.1115498147287815e+02
-5.0476579058416460e-02	-9.9872047936392661e-01	3.0852983078164340e-03	-4.9277639213192337e-02	-5.9494408302141616e-04	-9.9878494197455403e-01	9.9750881161027061e-01	-5.0567283302811961e-02	-4.9184556714880069e-02	1.1721614121918029e+00	-1.2839941151222973e+01	3.3978572083755303e+01	6.1115498147287815e+02
6.9838434390850079e-02	-9.9747969782052448e-01	1.2523798054526436e-02	-2.1560051841868114e-02	-1.4060806342209235e-02	-9.9966867405635107e-01	9.9732530161748689e-01	6.9545281370359813e-02	-2.2487698697434857e-02	2.9655892871659661e+00	-1.2890860413270104e+01	3.3947598072868203e+01	6.1115498147287815e+02
1.8196780450493111e-02	-9.9980006525221921e-01	-8.2889506510310535e-03	-4.0507006958958008e-02	7.5463229783151037e-03	-9.9915075709160839e-01	9.9901354323575808e-01	1.8517087545444011e-02	-4.0361589418293702e-02	4.6438584431905028e+00	-1.2723019795514483e+01	3.3962521175061255e+01	6.1115498147287815e+02
3.0567476928672621e-01	-9.5202632146441313e-01	-1.4450559174114114e-02	-1.8450861064162583e-03	1.4584682165714813e-02	-9.9989193551272604e-01	9.5213419804078414e-01	3.0566839922547251e-01	2.7015988174487436e-03	6.0033896610600275e+00	-1.2473008338178673e+01	3.3994887520108136e+01	6.1115498147287815e+02
5.1334836933653394e-01	-8.5796734421089282e-01	1.9117739595182606e-02	5.4002577389133277e-02	1.0062459239798476e-02	-9.9849009436717939e-01	8.5647952300965868e-01	5.1360566895406723e-01	5.1497994945363126e-02	6.6754660454597756e+00	-1.2006438259446744e+01	3.4062280869590033e+01	6.1115498147287815e+02
9.9430571698082548e-01	-1.0637764262290839e-01	6.3196779379715521e-03	1.3976899884584469e-02	7.1390729797086327e-02	-9.9735049504607765e-01	1.0564462811171815e-01	9.9175962856381306e-01	7.2471040437575449e-02	6.6684811124610599e+00	-1.1770012319692182e+01	3.4048070336912495e+01	6.1115498147287815e+02
8.0891331278580036e-01	5.8785365891025398e-01	9.3449507076807364e-03	-1.1542656371597494e-02	3.1770864117927664e-02	-9.9942852634747614e-01	-5.8781461319176898e-01	8.0834317458553917e-01	3.2485267725288119e-02	5.9942280307362692e+00	-1.1825958177324683e+01	3.3980559378157729e+01	6.1115498147287815e+02
4.2197217780498364e-01	9.0593184909806002e-01	3.5028073716511482e-02	3.0706009898566339e-03	3.7208035925312868e-02	-9.9930282370868062e-01	-9.0660358071655589e-01	4.2178554604484836e-01	1.2919000718667438e-02	4.5188028373856595e+00	-1.2169797669248645e+01	3.3951638633028026e+01	6.1115498147287815e+02
2.9896117979811176e-02	9.9929503663161545e-01	-2.2707969815810865e-02	3.5736775398168573e-02	-2.3772192852145081e-02	-9.9907845824596864e-01	-9.9891396276850497e-01	2.9057057841753553e-02	-3.6422278562755095e-02	2.7952541154309030e+00	-1.2218803307748368e+01	3.3845418343674972e+01	6.1115498147287815e+02
-7.8487384011546868e-02	9.9690352937480187e-01	-4.8045469180775617e-03	5.2864099851174927e-02	-6.5067767675690454e-04	-9.9860150388705426e-01	-9.9551248987541552e-01	-7.8631607758108568e-02	-5.2649337730174273e-02	1.1132442230542483e+00	-1.2403862663591584e+01	3.3883846276104585e+01	6.1115498147287815e+02
-1.0453450748705184e-02	9.9993271526296124e-01	5.0289476320937391e-03	4.5457359455758746e-02	5.4992292697331711e-03	-9.9895114342431657e-01	-9.9891158459533069e-01	-1.0213883897952247e-02	-4.5511786791607611e-02	-4.5363403237961064e-01	-1.2479907561294180e+01	3.3895759242504276e+01	6.1115498147287815e+02
-9.0862390009715965e-02	9.9579705520290207e-01	-1.1500040476059523e-02	6.8211383750518703e-02	-5.2975096735683232e-03	-9.9765682652808951e-01	-9.9352465153541214e-01	-9.1433917341909920e-02	-6.7443350680041037e-02	-2.2572213855025223e+00	-1.2501364019479855e+01	3.3918824388386554e+01	6.1115498147287815e+02
1.5078997243517561e-01	9.8816961667988801e-01	2.7985583497977293e-02	8.6610021324292713e-02	1.4994734357875787e-02	-9.9612944045828855e-01	-9.8476448373162040e-01	1.5263016285210446e-01	-8.3324335992166057e-02	-3.7439000327523733e+00	-1.2581721599304842e+01	3.3900315489085941e+01	6.1115498147287815e+02
4.5357225676511853e-01	8.9120222835285534e-01	5.5494208619084754e-03	7.7418179555053951e-02	-3.3196776105761404e-02	-9.9644588389463773e-01	-8.8785056927806227e-01	4.5238983436311780e-01	-8.4052390790101586e-02	-4.9589764009789778e+00	-1.1985900628267030e+01	3.3860615637777016e+01	6.1115498147287815e+02
8.9847794265743131e-01	4.3860656584911206e-01	-1.9017543272421951e-02	1.9097123749784548e-02	-8.2324018234876728e-02	-9.9642262915198276e-01	-4.3860310808583580e-01	8.9490057348049135e-01	-8.2342438400453660e-02	-5.5165371020105027e+00	-1.1387517130217496e+01	3.3897301113580063e+01	6.1115498147287815e+02
9.9933907912735787e-01	2.2320743185590963e-02	-2.8691276592852109e-02	-2.7385835925831166e-02	-5.6742555336656002e-02	-9.9801317546639168e-01	-2.3904412135170694e-02	9.9813930232082815e-01	-5.6093780786843531e-02	-5.4683749068445717e+00	-1.0755246805306349e+01	3.3887440985434665e+01	6.1115498147287815e+02
9.5999389340643404e-01	-2.7729372317557632e-01	-3.8986096365025556e-02	-5.6709234568848924e-02	-5.6181715365259226e-02	-9.9680874673792497e-01	2.7421850290775696e-01	9.5914118144621652e-01	-6.9659218463781189e-02	-5.1399389985449089e+00	-1.0009982671234592e+01	3.3910945570668304e+01	6.1115498147287815e+02
6.3502669522818034e-01	-7.7248689452598884e-01	2.2570186463629184e-03	-8.3006725541534904e-02	-7.1140336765230364e-02	-9.9400650702085569e-01	7.6801756481375372e-01	6.3103331946144026e-01	-1.0929762059179574e-01	-4.6916409826441248e+00	-9.5072002536517086e+00	3.3847475517290484e+01	6.1115498147287815e+02
2.1751766122389138e-01	-9.7584989297527391e-01	-2.0076190770039276e-02	-9.9359535649115427e-02	-1.6761147999745374e-03	-9.9505018632969966e-01	9.7098596783438673e-01	2.1843575032334767e-01	-9.7324576800495555e-02	-4.0517145276848732e+00	-9.4952410874233841e+00	3.3863830404534369e+01	6.1115498147287815e+02
1.0302725861317202e-01	-9.9356457179604729e-01	-4.7061934239808305e-02	-1.1159020517957881e-01	3.5469629516458885e-02	-9.9312110615470495e-01	9.8839921595003022e-01	1.0757019593596817e-01	-1.0721773573277588e-01	-3.0865464699680181e+00	-9.5228073277268965e+00	3.3908826293930964e+01	6.1115498147287815e+02
-2.8977310855354155e-02	-9.9671686407663351e-01	7.5602965026738189e-02	-5.6999380031054835e-02	-7.3864007488129657e-02	-9.9563807634796164e-01	9.9795359918769155e-01	-3.3160236172795676e-02	-5.4671863012860020e-02	-1.8092972817189681e+00	-9.2149610492374840e+00	3.3966491523356289e+01	6.1115498147287815e+02
2.1217155642724256e-01	-9.7653300834377954e-01	3.6966393633810914e-02	-3.0461066167595911e-02	-4.4418068125945523e-02	-9.9854852594748378e-01	9.7675757181153977e-01	2.1073755915594927e-01	-3.9170487229774717e-02	-3.9637520351451139e-01	-9.0116443415570870e+00	3.3797768390055154e+01	6.1115498147287815e+02
5.6258624923271794e-01	-8.2290001296392079e-01	7.9575629675429305e-02	1.9554735495881381e-02	-8.2980546565617500e-02	-9.9635929323279671e-01	8.2650730456176169e-01	5.6209411805822196e-01	-3.0592122358564997e-02	9.8949876461084774e-01	-8.3983648864815166e+00	3.3807897838297535e+01	6.1115498147287815e+02
7.4409310374950721e-01	-6.6681924695531070e-01	4.0957842257347096e-02	-1.7642873017880874e-02	-8.0899192254971358e-02	-9.9656612912749976e-01	6.6784293212109413e-01	7.4081537010408072e-01	-7.1961138355740945e-02	2.2399288950397054e+00	-7.5275013614069355e+00	3.3805167170775661e+01	6.1115498147287815e+02
