name	time	x	y	z	heading	pitch	roll
video_0001.jpg	0	-31.08385086	29.65549278	8.56377888	0	0	0
video_0001.jpg	1	-30.93172916	28.93014359	8.37605345	0	0	0
video_0002.jpg	2	-30.45422459	27.80642804	8.23937555	0	0	0
video_0003.jpg	3	-29.52863818	26.63222081	8.2429018	0	0	0
video_0004.jpg	4	-28.28030216	25.69882842	8.2851388	0	0	0
video_0006.jpg	6	-28.42338499	23.08544191	7.60348201	0	0	0
video_0007.jpg	7	-25.22428751	22.271384	7.32695359	0	0	0
video_0008.jpg	8	-22.27121353	21.60062719	7.12321824	0	0	0
video_0009.jpg	9	-19.39642819	21.0024825	7.0440992	0	0	0
video_0010.jpg	10	-16.23769188	20.49226125	7.02483728	0	0	0
video_0011.jpg	11	-13.03686469	20.18958773	7.15492269	0	0	0
video_0012.jpg	12	-10.21420161	20.07179197	7.45327616	0	0	0
video_0013.jpg	13	-7.35085456	19.86475086	7.61454932	0	0	0
video_0014.jpg	14	-4.63568192	19.35937099	7.79140949	0	0	0
video_0015.jpg	15	-1.64011046	18.97779513	7.87374967	0	0	0
video_0016.jpg	16	1.45157542	18.61619786	7.88787774	0	0	0
video_0017.jpg	17	4.37731091	18.61203711	8.05719771	0	0	0
video_0018.jpg	18	7.12342269	18.57395757	8.24317036	0	0	0
video_0019.jpg	19	10.02712526	18.60297375	8.25904031	0	0	0
video_0020.jpg	20	12.72686968	18.52459278	8.42473841	0	0	0
video_0021.jpg	21	15.95285497	17.62936865	8.45315075	0	0	0
video_0022.jpg	22	18.57684183	16.73488641	8.12982726	0	0	0
video_0023.jpg	23	21.63224496	16.01128938	7.91067144	0	0	0
video_0024.jpg	24	24.60763041	15.42812051	7.83186669	0	0	0
video_0029.jpg	29	39.3665657	13.27846074	8.11416602	0	0	0
video_0030.jpg	30	41.79719364	13.51236029	8.14273026	0	0	0
video_0031.jpg	31	44.87880221	13.99036156	8.1833438	0	0	0
video_0032.jpg	32	47.30041414	14.46514247	8.21781944	0	0	0
video_0033.jpg	33	49.78081589	14.96812153	8.26209416	0	0	0
video_0034.jpg	34	52.19225457	15.34716048	8.21697789	0	0	0
video_0035.jpg	35	54.19676833	15.43915137	8.18816345	0	0	0
video_0036.jpg	36	56.38774109	15.40403253	8.15870029	0	0	0
video_0037.jpg	37	59.07290459	15.49932305	8.14155523	0	0	0
video_0038.jpg	38	61.74330807	15.53278351	8.18147425	0	0	0
video_0039.jpg	39	64.36121909	15.3427604	8.16801699	0	0	0
video_0040.jpg	40	67.09941514	15.09466608	8.190715	0	0	0
video_0041.jpg	41	69.85240046	15.00253618	8.2148186	0	0	0
video_0042.jpg	42	72.53887908	14.95199748	8.22520487	0	0	0
